perc_patients_csts, sa3_name, sa3_code, tot_oop_cst_patient_90th_percile, tot_oop_cst_patient_50th_percile, all_patients_avg_medicare_bfts_expenditure_patient, tot_oop_cst_patient_75th_percile, all_patients_avg_oop_cst_patient, all_patients_avg_no_patient, tot_oop_cst_patient_25th_percile, remoteness_socioeconomic_status
68.3,"Queanbeyan","10102",665,160,706,350,199,13.6,76,"Major cities - higher SES"
60.9,"Snowy Mountains","10103",472,102,704,238,122,14.0,46,"Outer regional"
62.4,"South Coast","10104",487,131,905,269,135,17.0,58,"Outer regional"
54.0,"Goulburn - Mulwaree","10105",540,146,879,298,132,16.2,68,"Inner regional"
62.7,"Young - Yass","10106",556,126,796,295,153,15.2,48,"Inner regional"
56.0,"Gosford","10201",566,147,992,312,144,17.5,66,"Major cities - medium SES"
50.0,"Wyong","10202",502,133,1046,276,115,19.0,61,"Major cities - lower SES"
50.8,"Bathurst","10301",473,120,841,255,109,15.9,56,"Inner regional"
47.3,"Lachlan Valley","10302",459,124,896,250,99,16.4,50,"Outer regional"
46.5,"Lithgow - Mudgee","10303",432,117,883,234,92,16.3,50,"Inner regional"
56.2,"Orange","10304",480,120,841,257,121,15.7,50,"Inner regional"
61.5,"Clarence Valley","10401",433,116,985,244,116,17.9,46,"Inner regional"
53.6,"Coffs Harbour","10402",454,122,1032,254,108,18.5,54,"Inner regional"
27.7,"Bourke - Cobar - Coonamble","10501",477,123,864,252,61,15.5,53,"Remote (incl. very remote)"
25.9,"Broken Hill and Far West","10502",368,82,989,176,44,18.5,37,"Remote (incl. very remote)"
46.7,"Dubbo","10503",450,107,918,237,93,16.8,50,"Inner regional"
50.7,"Lower Hunter","10601",469,119,872,254,110,16.3,55,"Inner regional"
60.8,"Maitland","10602",495,125,871,272,139,16.1,56,"Major cities - lower SES"
51.2,"Port Stephens","10603",504,130,1040,277,118,19.3,61,"Inner regional"
52.3,"Upper Hunter","10604",474,116,800,250,110,15.5,43,"Inner regional"
39.2,"Dapto - Port Kembla","10701",484,142,1050,277,96,19.6,66,"Major cities - lower SES"
null,"Illawarra Catchment Reserve","10702",null,null,null,null,null,null,null,"Ungrouped"
44.3,"Kiama - Shellharbour","10703",518,147,995,295,111,18.5,68,"Major cities - medium SES"
52.9,"Wollongong","10704",567,147,1006,309,139,18.6,61,"Major cities - lower SES"
60.0,"Great Lakes","10801",404,113,1060,233,110,19.2,50,"Inner regional"
46.4,"Kempsey - Nambucca","10802",442,125,1039,252,91,19.0,59,"Outer regional"
null,"Lord Howe Island","10803",null,null,null,null,null,null,null,"Remote (incl. very remote)"
50.0,"Port Macquarie","10804",479,130,1099,272,106,19.9,60,"Inner regional"
59.3,"Taree - Gloucester","10805",400,111,923,227,107,17.1,50,"Inner regional"
61.9,"Albury","10901",485,126,818,267,134,15.8,58,"Inner regional"
48.3,"Lower Murray","10902",476,124,874,260,106,16.2,54,"Outer regional"
64.1,"Upper Murray exc. Albury","10903",409,108,923,226,118,17.6,49,"Inner regional"
58.6,"Armidale","11001",533,136,782,294,138,14.9,61,"Inner regional"
54.6,"Inverell - Tenterfield","11002",493,124,796,267,117,15.5,57,"Outer regional"
52.9,"Moree - Narrabri","11003",468,108,717,235,108,13.8,48,"Outer regional"
61.6,"Tamworth - Gunnedah","11004",486,125,748,272,131,14.8,54,"Inner regional"
58.8,"Lake Macquarie - East","11101",512,132,937,279,142,17.2,61,"Major cities - medium SES"
51.6,"Lake Macquarie - West","11102",529,139,1018,288,130,18.7,66,"Major cities - lower SES"
61.6,"Newcastle","11103",538,134,914,289,157,16.9,59,"Major cities - lower SES"
64.8,"Richmond Valley - Coastal","11201",457,123,954,252,136,17.1,58,"Inner regional"
61.6,"Richmond Valley - Hinterland","11202",430,121,840,248,121,15.6,56,"Inner regional"
52.1,"Tweed Valley","11203",497,127,1096,270,120,19.4,58,"Major cities - lower SES"
57.3,"Griffith - Murrumbidgee (West)","11301",485,117,806,255,122,15.3,51,"Outer regional"
44.7,"Tumut - Tumbarumba","11302",530,150,908,307,112,17.3,73,"Inner regional"
59.3,"Wagga Wagga","11303",580,142,848,312,153,16.2,63,"Inner regional"
56.6,"Shoalhaven","11401",453,127,1031,257,117,18.9,59,"Inner regional"
61.6,"Southern Highlands","11402",639,168,931,354,176,17.1,73,"Inner regional"
50.5,"Baulkham Hills","11501",708,178,910,384,171,16.6,80,"Major cities - higher SES"
58.5,"Dural - Wisemans Ferry","11502",748,187,963,407,199,17.2,80,"Major cities - higher SES"
51.0,"Hawkesbury","11503",600,158,937,326,143,17.0,72,"Inner regional"
43.3,"Rouse Hill - McGraths Hill","11504",625,170,891,338,137,16.5,79,"Major cities - higher SES"
27.7,"Blacktown","11601",523,151,972,290,76,18.5,77,"Major cities - lower SES"
34.8,"Blacktown - North","11602",601,167,897,323,112,17.1,82,"Major cities - higher SES"
18.5,"Mount Druitt","11603",451,146,913,261,46,17.8,77,"Major cities - lower SES"
40.8,"Botany","11701",682,168,892,360,144,16.7,71,"Major cities - lower SES"
53.9,"Sydney Inner City","11703",912,184,933,442,230,16.6,71,"Major cities - higher SES"
68.9,"Eastern Suburbs - North","11801",1155,255,1026,600,361,17.0,101,"Major cities - higher SES"
52.1,"Eastern Suburbs - South","11802",804,188,923,416,206,16.6,76,"Major cities - higher SES"
32.2,"Bankstown","11901",566,152,967,302,93,18.3,75,"Major cities - lower SES"
28.8,"Canterbury","11902",596,161,968,314,89,18.3,80,"Major cities - lower SES"
42.4,"Hurstville","11903",679,171,932,361,141,17.2,73,"Major cities - medium SES"
40.0,"Kogarah - Rockdale","11904",682,177,961,364,142,17.9,82,"Major cities - medium SES"
51.9,"Canada Bay","12001",805,186,991,418,207,17.8,75,"Major cities - higher SES"
63.1,"Leichhardt","12002",911,205,938,474,278,16.2,82,"Major cities - higher SES"
38.2,"Strathfield - Burwood - Ashfield","12003",731,177,937,374,138,17.4,80,"Major cities - medium SES"
47.9,"Marrickville - Sydenham - Petersham","11702",758,175,936,389,178,16.9,73,"Major cities - medium SES"
60.1,"Chatswood - Lane Cove","12101",932,213,862,487,262,15.3,82,"Major cities - higher SES"
54.8,"Hornsby","12102",773,187,858,411,198,15.7,80,"Major cities - higher SES"
67.1,"Ku-ring-gai","12103",964,231,918,525,290,15.8,90,"Major cities - higher SES"
76.2,"North Sydney - Mosman","12104",1072,244,941,572,371,16.0,96,"Major cities - higher SES"
73.6,"Manly","12201",865,196,829,455,296,14.5,76,"Major cities - higher SES"
72.7,"Pittwater","12202",863,213,893,471,279,15.7,86,"Major cities - higher SES"
64.4,"Warringah","12203",779,190,865,420,235,15.5,78,"Major cities - higher SES"
44.7,"Camden","12301",581,158,873,322,127,16.5,73,"Major cities - medium SES"
29.0,"Campbelltown (NSW)","12302",509,157,941,291,74,18.0,81,"Major cities - lower SES"
41.0,"Wollondilly","12303",558,160,912,311,113,17.2,77,"Inner regional"
54.2,"Blue Mountains","12401",575,145,926,311,140,16.6,60,"Major cities - medium SES"
null,"Blue Mountains - South","12402",null,null,null,null,null,null,null,"Ungrouped"
35.2,"Penrith","12403",577,161,927,324,102,17.3,81,"Major cities - medium SES"
48.1,"Richmond - Windsor","12404",578,152,946,319,132,17.3,68,"Major cities - medium SES"
25.7,"St Marys","12405",542,157,917,301,71,17.5,87,"Major cities - medium SES"
23.3,"Auburn","12501",565,152,837,296,73,16.5,77,"Major cities - lower SES"
38.8,"Carlingford","12502",705,177,913,374,134,16.8,82,"Major cities - medium SES"
25.4,"Merrylands - Guildford","12503",494,147,949,278,68,18.3,73,"Major cities - lower SES"
32.3,"Parramatta","12504",612,164,948,325,103,17.8,77,"Major cities - medium SES"
51.4,"Pennant Hills - Epping","12601",808,196,871,439,190,15.8,83,"Major cities - higher SES"
48.9,"Ryde - Hunters Hill","12602",788,183,913,404,185,16.6,80,"Major cities - higher SES"
30.1,"Bringelly - Green Valley","12701",538,160,872,303,86,17.0,83,"Major cities - lower SES"
26.7,"Fairfield","12702",489,147,932,276,69,18.1,76,"Major cities - lower SES"
30.4,"Liverpool","12703",538,160,922,304,87,17.9,84,"Major cities - lower SES"
57.6,"Cronulla - Miranda - Caringbah","12801",741,194,976,410,206,17.8,84,"Major cities - higher SES"
58.3,"Sutherland - Menai - Heathcote","12802",688,176,938,373,193,17.3,71,"Major cities - higher SES"
51.0,"Ballarat","20101",521,132,852,285,126,16.2,62,"Inner regional"
57.9,"Creswick - Daylesford - Ballan","20102",483,110,845,249,126,16.0,43,"Inner regional"
49.5,"Maryborough - Pyrenees","20103",411,100,861,219,94,16.2,45,"Inner regional"
54.0,"Bendigo","20201",441,114,841,242,113,15.9,53,"Inner regional"
58.7,"Heathcote - Castlemaine - Kyneton","20202",455,112,861,241,125,16.1,51,"Inner regional"
51.9,"Loddon - Elmore","20203",413,107,901,221,99,16.8,48,"Inner regional"
62.2,"Barwon - West","20301",521,121,750,268,149,14.4,52,"Inner regional"
57.4,"Geelong","20302",552,132,852,296,145,16.3,58,"Major cities - lower SES"
68.6,"Surf Coast - Bellarine Peninsula","20303",563,134,847,301,173,16.0,58,"Inner regional"
50.7,"Upper Goulburn Valley","20401",433,110,942,230,104,17.6,50,"Inner regional"
67.7,"Wangaratta - Benalla","20402",391,109,828,220,120,16.2,48,"Inner regional"
63.4,"Wodonga - Alpine","20403",446,120,844,250,128,16.4,56,"Inner regional"
55.8,"Baw Baw","20501",460,125,943,256,118,17.6,56,"Inner regional"
59.2,"Gippsland - East","20502",448,108,791,238,116,15.1,47,"Outer regional"
55.9,"Gippsland - South West","20503",468,117,896,252,117,17.0,51,"Inner regional"
46.8,"Latrobe Valley","20504",436,117,888,240,93,17.6,53,"Inner regional"
60.6,"Wellington","20505",465,119,860,249,127,16.6,52,"Inner regional"
52.1,"Brunswick - Coburg","20601",688,152,885,352,176,16.3,66,"Major cities - medium SES"
65.3,"Darebin - South","20602",702,154,850,360,224,15.3,67,"Major cities - medium SES"
56.5,"Essendon","20603",673,157,835,350,186,15.7,67,"Major cities - higher SES"
54.2,"Melbourne City","20604",791,164,848,396,201,15.7,67,"Major cities - higher SES"
66.4,"Port Phillip","20605",892,197,871,464,280,15.6,82,"Major cities - higher SES"
40.4,"Moreland - North","21003",576,129,936,290,117,17.9,55,"Major cities - lower SES"
45.8,"Sunbury","21004",549,141,911,295,121,17.6,57,"Major cities - medium SES"
23.9,"Tullamarine - Broadmeadows","21005",502,125,875,253,62,17.5,61,"Major cities - lower SES"
50.1,"Knox","21101",563,138,861,300,134,16.3,62,"Major cities - medium SES"
64.9,"Manningham - East","21102",658,157,795,355,196,14.7,67,"Major cities - higher SES"
56.3,"Maroondah","21103",600,147,836,322,159,15.5,66,"Major cities - higher SES"
53.6,"Whitehorse - East","21104",622,150,859,334,163,16.0,63,"Major cities - medium SES"
54.4,"Yarra Ranges","21105",540,130,829,288,135,15.4,58,"Major cities - medium SES"
45.8,"Cardinia","21201",522,129,839,277,115,16.1,58,"Major cities - medium SES"
41.1,"Casey - North","21202",532,134,836,281,104,16.1,64,"Major cities - medium SES"
36.6,"Casey - South","21203",496,124,809,261,89,15.9,58,"Major cities - lower SES"
32.9,"Dandenong","21204",474,120,823,250,78,16.4,55,"Major cities - lower SES"
52.6,"Monash","21205",622,144,846,324,155,16.3,62,"Major cities - medium SES"
28.8,"Brimbank","21301",465,120,841,244,69,16.6,55,"Major cities - lower SES"
47.6,"Hobsons Bay","21302",593,139,854,304,144,16.0,58,"Major cities - lower SES"
43.6,"Maribyrnong","21303",627,140,800,309,142,15.2,63,"Major cities - medium SES"
34.9,"Melton - Bacchus Marsh","21304",460,116,840,242,83,16.3,55,"Major cities - medium SES"
72.1,"Stonnington - West","20606",1035,233,917,552,332,16.4,89,"Major cities - higher SES"
61.9,"Yarra","20607",834,184,818,432,245,14.7,76,"Major cities - higher SES"
70.3,"Boroondara","20701",858,203,819,463,275,14.8,82,"Major cities - higher SES"
53.5,"Manningham - West","20702",662,161,886,354,170,16.8,72,"Major cities - medium SES"
57.8,"Whitehorse - West","20703",685,160,863,363,186,15.9,66,"Major cities - medium SES"
76.0,"Bayside","20801",867,215,866,479,299,15.7,90,"Major cities - higher SES"
40.1,"Darebin - North","20902",585,133,929,297,118,17.8,56,"Major cities - lower SES"
64.7,"Nillumbik - Kinglake","20903",623,151,776,336,186,14.8,66,"Major cities - higher SES"
32.1,"Whittlesea - Wallan","20904",507,127,894,261,85,17.5,58,"Major cities - lower SES"
55.7,"Keilor","21001",594,146,950,316,166,17.9,66,"Major cities - medium SES"
59.0,"Macedon Ranges","21002",575,141,860,302,157,16.4,64,"Inner regional"
28.6,"Wyndham","21305",498,129,798,260,78,15.6,58,"Major cities - medium SES"
48.6,"Frankston","21401",551,137,908,297,123,17.1,63,"Major cities - lower SES"
64.9,"Glen Eira","20802",827,189,893,435,247,16.3,77,"Major cities - medium SES"
57.7,"Kingston","20803",662,158,854,355,183,16.2,68,"Major cities - medium SES"
75.4,"Stonnington - East","20804",962,229,850,526,324,15.3,89,"Major cities - higher SES"
59.2,"Banyule","20901",660,157,860,353,186,16.2,67,"Major cities - higher SES"
66.0,"Mornington Peninsula","21402",624,155,939,343,186,17.5,70,"Major cities - higher SES"
53.8,"Grampians","21501",434,113,833,240,106,16.3,53,"Outer regional"
50.3,"Mildura","21502",476,124,844,260,108,16.2,53,"Outer regional"
55.3,"Murray River - Swan Hill","21503",423,107,820,229,107,15.8,46,"Outer regional"
58.0,"Campaspe","21601",383,107,887,219,102,17.0,50,"Inner regional"
63.9,"Moira","21602",361,94,937,197,107,18.0,43,"Inner regional"
50.8,"Shepparton","21603",417,108,915,226,99,17.5,50,"Inner regional"
59.4,"Glenelg - Southern Grampians","21701",412,103,814,222,109,16.1,43,"Outer regional"
63.0,"Colac - Corangamite","21703",441,107,772,234,123,15.1,48,"Inner regional"
69.2,"Warrnambool","21704",453,114,776,250,138,15.3,53,"Inner regional"
58.6,"Capalaba","30101",609,145,858,325,159,16.2,65,"Major cities - medium SES"
51.8,"Cleveland - Stradbroke","30102",638,154,922,341,145,17.5,68,"Major cities - higher SES"
62.7,"Wynnum - Manly","30103",664,151,846,348,185,15.9,65,"Major cities - medium SES"
58.4,"Bald Hills - Everton Park","30201",684,153,912,356,177,16.9,65,"Major cities - higher SES"
61.1,"Chermside","30202",687,152,914,360,191,16.9,66,"Major cities - medium SES"
62.4,"Nundah","30203",665,144,859,340,188,16.2,61,"Major cities - medium SES"
55.4,"Sandgate","30204",619,139,900,326,153,16.7,61,"Major cities - medium SES"
70.1,"Carindale","30301",724,167,849,386,230,15.8,70,"Major cities - higher SES"
